Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.481-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.485-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.520-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.540-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.544-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.577-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.582-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.617-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.621-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.659-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.663-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.698-0500, Frequency : 902750, Phase : 8
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.702-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.735-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.740-0500, Frequency : 902750, Phase : 8
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.797-0500, Frequency : 902750, Phase : 8
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.801-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.841-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.846-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.885-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.889-0500, Frequency : 902750, Phase : 14
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.933-0500, Frequency : 902750, Phase : 67
