Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.973-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.007-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.041-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.074-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.109-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.142-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.169-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.202-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.235-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.271-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.304-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.337-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.372-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.406-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.417-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.451-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.487-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.522-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.556-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.591-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.623-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.677-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.713-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.746-0500, Frequency : 902750, Phase : 157
